Basic Parameters: 2024-09-23_10-14-48 model=imagenet_resnet dataset=imagenet n_ex=1000 eps=5.0 p=0.105 n_iter=10000
Clean accuracy: 79.70%
108: attack success rate=34.8%, average queries=33.8, median queries=21.0
109: attack success rate=34.9%, average queries=34.0, median queries=21.0
110: attack success rate=34.9%, average queries=34.0, median queries=21.0
111: attack success rate=35.4%, average queries=35.1, median queries=23.0
112: attack success rate=35.6%, average queries=35.5, median queries=23.5
113: attack success rate=35.7%, average queries=35.7, median queries=24.0
114: attack success rate=35.8%, average queries=36.0, median queries=24.5
115: attack success rate=35.8%, average queries=36.0, median queries=24.5
116: attack success rate=35.8%, average queries=36.0, median queries=24.5
117: attack success rate=36.0%, average queries=36.4, median queries=25.5
118: attack success rate=36.1%, average queries=36.6, median queries=26.0
119: attack success rate=36.2%, average queries=36.9, median queries=26.0
120: attack success rate=36.3%, average queries=37.1, median queries=26.0
121: attack success rate=36.3%, average queries=37.1, median queries=26.0
122: attack success rate=36.7%, average queries=38.0, median queries=26.0
123: attack success rate=37.0%, average queries=38.7, median queries=26.0
124: attack success rate=37.2%, average queries=39.2, median queries=26.0
125: attack success rate=37.3%, average queries=39.4, median queries=26.0
126: attack success rate=37.5%, average queries=39.9, median queries=27.0
127: attack success rate=37.5%, average queries=39.9, median queries=27.0
128: attack success rate=37.7%, average queries=40.4, median queries=27.0
129: attack success rate=37.8%, average queries=40.6, median queries=27.0
130: attack success rate=37.8%, average queries=40.6, median queries=27.0
131: attack success rate=38.0%, average queries=41.1, median queries=27.0
132: attack success rate=38.0%, average queries=41.1, median queries=27.0
133: attack success rate=38.0%, average queries=41.1, median queries=27.0
134: attack success rate=38.1%, average queries=41.3, median queries=27.0
135: attack success rate=38.1%, average queries=41.3, median queries=27.0
136: attack success rate=38.3%, average queries=41.8, median queries=28.0
137: attack success rate=38.3%, average queries=41.8, median queries=28.0
138: attack success rate=38.5%, average queries=42.3, median queries=31.0
139: attack success rate=38.7%, average queries=42.8, median queries=31.0
140: attack success rate=38.7%, average queries=42.8, median queries=31.0
141: attack success rate=38.9%, average queries=43.4, median queries=31.0
142: attack success rate=38.9%, average queries=43.4, median queries=31.0
143: attack success rate=39.0%, average queries=43.6, median queries=31.5
144: attack success rate=39.0%, average queries=43.6, median queries=31.5
145: attack success rate=39.2%, average queries=44.1, median queries=32.5
146: attack success rate=39.4%, average queries=44.7, median queries=33.0
147: attack success rate=39.5%, average queries=44.9, median queries=33.0
148: attack success rate=39.6%, average queries=45.2, median queries=33.0
149: attack success rate=39.7%, average queries=45.4, median queries=33.0
150: attack success rate=40.0%, average queries=46.2, median queries=33.0
151: attack success rate=40.1%, average queries=46.5, median queries=33.0
152: attack success rate=40.2%, average queries=46.8, median queries=33.5
153: attack success rate=40.3%, average queries=47.0, median queries=34.0
154: attack success rate=40.5%, average queries=47.6, median queries=35.0
155: attack success rate=40.6%, average queries=47.8, median queries=35.0
156: attack success rate=40.8%, average queries=48.4, median queries=35.5
157: attack success rate=40.8%, average queries=48.4, median queries=35.5
158: attack success rate=40.9%, average queries=48.6, median queries=36.0
159: attack success rate=41.1%, average queries=49.2, median queries=36.0
160: attack success rate=41.2%, average queries=49.5, median queries=36.0
161: attack success rate=41.3%, average queries=49.7, median queries=36.0
162: attack success rate=41.3%, average queries=49.7, median queries=36.0
163: attack success rate=41.3%, average queries=49.7, median queries=36.0
164: attack success rate=41.3%, average queries=49.7, median queries=36.0
165: attack success rate=41.6%, average queries=50.6, median queries=37.0
166: attack success rate=41.7%, average queries=50.8, median queries=38.0
167: attack success rate=41.9%, average queries=51.4, median queries=38.0
168: attack success rate=42.3%, average queries=52.5, median queries=39.0
169: attack success rate=42.4%, average queries=52.8, median queries=39.0
170: attack success rate=42.4%, average queries=52.8, median queries=39.0
171: attack success rate=42.6%, average queries=53.3, median queries=39.0
172: attack success rate=42.6%, average queries=53.3, median queries=39.0
173: attack success rate=42.7%, average queries=53.6, median queries=39.0
174: attack success rate=42.8%, average queries=53.9, median queries=39.5
175: attack success rate=42.9%, average queries=54.2, median queries=40.0
176: attack success rate=43.1%, average queries=54.8, median queries=40.0
177: attack success rate=43.2%, average queries=55.1, median queries=40.0
178: attack success rate=43.3%, average queries=55.3, median queries=40.0
179: attack success rate=43.3%, average queries=55.3, median queries=40.0
180: attack success rate=43.3%, average queries=55.3, median queries=40.0
181: attack success rate=43.4%, average queries=55.6, median queries=40.0
182: attack success rate=43.4%, average queries=55.6, median queries=40.0
183: attack success rate=43.5%, average queries=55.9, median queries=40.0
184: attack success rate=43.6%, average queries=56.2, median queries=40.5
185: attack success rate=43.8%, average queries=56.8, median queries=41.0
186: attack success rate=43.8%, average queries=56.8, median queries=41.0
187: attack success rate=43.8%, average queries=56.8, median queries=41.0
188: attack success rate=43.9%, average queries=57.1, median queries=41.0
189: attack success rate=43.9%, average queries=57.1, median queries=41.0
190: attack success rate=44.1%, average queries=57.7, median queries=42.0
191: attack success rate=44.1%, average queries=57.7, median queries=42.0
192: attack success rate=44.1%, average queries=57.7, median queries=42.0
193: attack success rate=44.2%, average queries=58.0, median queries=42.0
194: attack success rate=44.2%, average queries=58.0, median queries=42.0
195: attack success rate=44.2%, average queries=58.0, median queries=42.0
196: attack success rate=44.4%, average queries=58.7, median queries=42.0
197: attack success rate=44.4%, average queries=58.7, median queries=42.0
198: attack success rate=44.4%, average queries=58.7, median queries=42.0
199: attack success rate=44.6%, average queries=59.3, median queries=42.5
200: attack success rate=44.6%, average queries=59.3, median queries=42.5
201: attack success rate=44.6%, average queries=59.3, median queries=42.5
202: attack success rate=44.8%, average queries=59.9, median queries=43.0
203: attack success rate=44.9%, average queries=60.3, median queries=43.0
204: attack success rate=44.9%, average queries=60.3, median queries=43.0
205: attack success rate=44.9%, average queries=60.3, median queries=43.0
206: attack success rate=45.0%, average queries=60.6, median queries=44.0
207: attack success rate=45.2%, average queries=61.2, median queries=45.0
208: attack success rate=45.3%, average queries=61.6, median queries=45.0
209: attack success rate=45.5%, average queries=62.2, median queries=45.0
210: attack success rate=45.6%, average queries=62.5, median queries=45.5
211: attack success rate=45.7%, average queries=62.9, median queries=46.0
212: attack success rate=45.7%, average queries=62.9, median queries=46.0
213: attack success rate=45.7%, average queries=62.9, median queries=46.0
214: attack success rate=45.8%, average queries=63.2, median queries=46.0
215: attack success rate=45.8%, average queries=63.2, median queries=46.0
216: attack success rate=45.8%, average queries=63.2, median queries=46.0
217: attack success rate=45.8%, average queries=63.2, median queries=46.0
