Basic Parameters: 2024-09-21_19-17-05 model=svhn-defended-trades dataset=svhn n_ex=1000 eps=5.0 p=0.11 n_iter=20000
Clean accuracy: 93.85%
108: attack success rate=93.2%, average queries=13.6, median queries=6.0
109: attack success rate=93.4%, average queries=13.8, median queries=6.0
110: attack success rate=93.6%, average queries=14.0, median queries=6.0
111: attack success rate=93.6%, average queries=14.0, median queries=6.0
112: attack success rate=93.6%, average queries=14.0, median queries=6.0
113: attack success rate=93.7%, average queries=14.1, median queries=6.0
114: attack success rate=93.7%, average queries=14.1, median queries=6.0
115: attack success rate=93.7%, average queries=14.1, median queries=6.0
116: attack success rate=93.7%, average queries=14.1, median queries=6.0
117: attack success rate=93.7%, average queries=14.1, median queries=6.0
118: attack success rate=93.7%, average queries=14.1, median queries=6.0
119: attack success rate=93.7%, average queries=14.1, median queries=6.0
120: attack success rate=93.8%, average queries=14.3, median queries=6.0
121: attack success rate=94.0%, average queries=14.5, median queries=6.0
122: attack success rate=94.1%, average queries=14.6, median queries=6.0
123: attack success rate=94.3%, average queries=14.8, median queries=6.0
124: attack success rate=94.3%, average queries=14.8, median queries=6.0
125: attack success rate=94.4%, average queries=14.9, median queries=6.0
126: attack success rate=94.4%, average queries=14.9, median queries=6.0
127: attack success rate=94.4%, average queries=14.9, median queries=6.0
128: attack success rate=94.4%, average queries=14.9, median queries=6.0
129: attack success rate=94.4%, average queries=14.9, median queries=6.0
130: attack success rate=94.4%, average queries=14.9, median queries=6.0
131: attack success rate=94.7%, average queries=15.3, median queries=6.0
132: attack success rate=94.8%, average queries=15.4, median queries=6.0
133: attack success rate=94.8%, average queries=15.4, median queries=6.0
134: attack success rate=94.9%, average queries=15.6, median queries=6.0
135: attack success rate=95.0%, average queries=15.7, median queries=6.0
136: attack success rate=95.0%, average queries=15.7, median queries=6.0
137: attack success rate=95.0%, average queries=15.7, median queries=6.0
138: attack success rate=95.3%, average queries=16.1, median queries=6.0
139: attack success rate=95.3%, average queries=16.1, median queries=6.0
140: attack success rate=95.4%, average queries=16.2, median queries=6.0
