Basic Parameters: 2024-09-21_15-38-53 model=cifar10-defended-trades dataset=cifar10 n_ex=1000 eps=5.0 p=0.11 n_iter=20000
Clean accuracy: 85.30%
108: attack success rate=73.5%, average queries=21.8, median queries=11.0
109: attack success rate=73.6%, average queries=21.9, median queries=11.0
110: attack success rate=73.7%, average queries=22.0, median queries=11.0
111: attack success rate=73.9%, average queries=22.3, median queries=11.0
112: attack success rate=74.1%, average queries=22.5, median queries=11.0
113: attack success rate=74.1%, average queries=22.5, median queries=11.0
114: attack success rate=74.1%, average queries=22.5, median queries=11.0
115: attack success rate=74.3%, average queries=22.8, median queries=11.0
116: attack success rate=74.3%, average queries=22.8, median queries=11.0
117: attack success rate=74.5%, average queries=23.0, median queries=11.0
118: attack success rate=74.5%, average queries=23.0, median queries=11.0
119: attack success rate=74.5%, average queries=23.0, median queries=11.0
120: attack success rate=74.5%, average queries=23.0, median queries=11.0
121: attack success rate=74.7%, average queries=23.3, median queries=11.0
122: attack success rate=74.9%, average queries=23.6, median queries=11.0
123: attack success rate=75.3%, average queries=24.1, median queries=11.0
124: attack success rate=75.5%, average queries=24.4, median queries=12.0
125: attack success rate=75.8%, average queries=24.8, median queries=12.0
126: attack success rate=75.9%, average queries=24.9, median queries=12.0
127: attack success rate=75.9%, average queries=24.9, median queries=12.0
128: attack success rate=76.0%, average queries=25.0, median queries=12.0
129: attack success rate=76.0%, average queries=25.0, median queries=12.0
130: attack success rate=76.0%, average queries=25.0, median queries=12.0
131: attack success rate=76.1%, average queries=25.2, median queries=12.0
132: attack success rate=76.1%, average queries=25.2, median queries=12.0
133: attack success rate=76.1%, average queries=25.2, median queries=12.0
134: attack success rate=76.2%, average queries=25.3, median queries=12.0
135: attack success rate=76.2%, average queries=25.3, median queries=12.0
136: attack success rate=76.3%, average queries=25.5, median queries=12.0
137: attack success rate=76.3%, average queries=25.5, median queries=12.0
138: attack success rate=76.5%, average queries=25.8, median queries=12.0
139: attack success rate=76.8%, average queries=26.2, median queries=12.0
140: attack success rate=76.9%, average queries=26.4, median queries=12.0
141: attack success rate=77.0%, average queries=26.5, median queries=12.0
142: attack success rate=77.3%, average queries=27.0, median queries=12.0
143: attack success rate=77.4%, average queries=27.1, median queries=12.5
144: attack success rate=77.6%, average queries=27.4, median queries=13.0
145: attack success rate=77.8%, average queries=27.7, median queries=13.0
146: attack success rate=77.8%, average queries=27.7, median queries=13.0
147: attack success rate=77.8%, average queries=27.7, median queries=13.0
148: attack success rate=77.8%, average queries=27.7, median queries=13.0
149: attack success rate=77.9%, average queries=27.9, median queries=13.0
150: attack success rate=77.9%, average queries=27.9, median queries=13.0
151: attack success rate=77.9%, average queries=27.9, median queries=13.0
152: attack success rate=78.0%, average queries=28.0, median queries=13.0
153: attack success rate=78.3%, average queries=28.5, median queries=13.0
154: attack success rate=78.4%, average queries=28.7, median queries=13.0
155: attack success rate=78.6%, average queries=29.0, median queries=13.0
156: attack success rate=78.6%, average queries=29.0, median queries=13.0
157: attack success rate=78.7%, average queries=29.2, median queries=13.0
158: attack success rate=78.9%, average queries=29.5, median queries=13.0
159: attack success rate=78.9%, average queries=29.5, median queries=13.0
160: attack success rate=78.9%, average queries=29.5, median queries=13.0
161: attack success rate=78.9%, average queries=29.5, median queries=13.0
162: attack success rate=79.0%, average queries=29.7, median queries=13.0
163: attack success rate=79.2%, average queries=30.0, median queries=13.0
164: attack success rate=79.5%, average queries=30.5, median queries=13.0
165: attack success rate=79.6%, average queries=30.7, median queries=13.0
166: attack success rate=79.8%, average queries=31.0, median queries=13.0
167: attack success rate=79.9%, average queries=31.2, median queries=13.0
168: attack success rate=80.2%, average queries=31.7, median queries=13.0
169: attack success rate=80.2%, average queries=31.7, median queries=13.0
170: attack success rate=80.3%, average queries=31.9, median queries=13.0
171: attack success rate=80.3%, average queries=31.9, median queries=13.0
172: attack success rate=80.4%, average queries=32.1, median queries=13.5
173: attack success rate=80.4%, average queries=32.1, median queries=13.5
174: attack success rate=80.4%, average queries=32.1, median queries=13.5
175: attack success rate=80.5%, average queries=32.2, median queries=14.0
176: attack success rate=80.6%, average queries=32.4, median queries=14.0
177: attack success rate=80.8%, average queries=32.8, median queries=14.0
178: attack success rate=80.9%, average queries=33.0, median queries=14.0
179: attack success rate=80.9%, average queries=33.0, median queries=14.0
