Basic Parameters: 2024-09-21_14-38-07 model=cifar10-undefended-trades dataset=cifar10 n_ex=1000 eps=5.0 p=0.11 n_iter=20000
Clean accuracy: 94.75%
108: attack success rate=99.7%, average queries=9.0, median queries=2.0
109: attack success rate=99.7%, average queries=9.0, median queries=2.0
110: attack success rate=99.7%, average queries=9.0, median queries=2.0
111: attack success rate=99.7%, average queries=9.0, median queries=2.0
112: attack success rate=99.7%, average queries=9.0, median queries=2.0
113: attack success rate=99.7%, average queries=9.0, median queries=2.0
114: attack success rate=99.7%, average queries=9.0, median queries=2.0
115: attack success rate=99.7%, average queries=9.0, median queries=2.0
116: attack success rate=99.7%, average queries=9.0, median queries=2.0
117: attack success rate=99.7%, average queries=9.0, median queries=2.0
118: attack success rate=99.7%, average queries=9.0, median queries=2.0
119: attack success rate=99.8%, average queries=9.1, median queries=2.0
120: attack success rate=99.8%, average queries=9.1, median queries=2.0
121: attack success rate=99.8%, average queries=9.1, median queries=2.0
122: attack success rate=99.8%, average queries=9.1, median queries=2.0
123: attack success rate=99.8%, average queries=9.1, median queries=2.0
124: attack success rate=99.8%, average queries=9.1, median queries=2.0
125: attack success rate=99.8%, average queries=9.1, median queries=2.0
126: attack success rate=99.8%, average queries=9.1, median queries=2.0
127: attack success rate=99.8%, average queries=9.1, median queries=2.0
128: attack success rate=99.8%, average queries=9.1, median queries=2.0
129: attack success rate=99.8%, average queries=9.1, median queries=2.0
130: attack success rate=99.8%, average queries=9.1, median queries=2.0
131: attack success rate=99.8%, average queries=9.1, median queries=2.0
132: attack success rate=99.8%, average queries=9.1, median queries=2.0
133: attack success rate=99.8%, average queries=9.1, median queries=2.0
134: attack success rate=99.8%, average queries=9.1, median queries=2.0
135: attack success rate=99.8%, average queries=9.1, median queries=2.0
136: attack success rate=99.8%, average queries=9.1, median queries=2.0
137: attack success rate=99.8%, average queries=9.1, median queries=2.0
138: attack success rate=99.8%, average queries=9.1, median queries=2.0
139: attack success rate=99.8%, average queries=9.1, median queries=2.0
140: attack success rate=99.8%, average queries=9.1, median queries=2.0
141: attack success rate=99.8%, average queries=9.1, median queries=2.0
142: attack success rate=99.8%, average queries=9.1, median queries=2.0
143: attack success rate=99.9%, average queries=9.3, median queries=2.0
144: attack success rate=99.9%, average queries=9.3, median queries=2.0
145: attack success rate=99.9%, average queries=9.3, median queries=2.0
146: attack success rate=99.9%, average queries=9.3, median queries=2.0
147: attack success rate=99.9%, average queries=9.3, median queries=2.0
148: attack success rate=99.9%, average queries=9.3, median queries=2.0
149: attack success rate=99.9%, average queries=9.3, median queries=2.0
150: attack success rate=99.9%, average queries=9.3, median queries=2.0
151: attack success rate=99.9%, average queries=9.3, median queries=2.0
152: attack success rate=99.9%, average queries=9.3, median queries=2.0
153: attack success rate=99.9%, average queries=9.3, median queries=2.0
154: attack success rate=99.9%, average queries=9.3, median queries=2.0
155: attack success rate=99.9%, average queries=9.3, median queries=2.0
156: attack success rate=99.9%, average queries=9.3, median queries=2.0
157: attack success rate=99.9%, average queries=9.3, median queries=2.0
158: attack success rate=99.9%, average queries=9.3, median queries=2.0
159: attack success rate=99.9%, average queries=9.3, median queries=2.0
160: attack success rate=99.9%, average queries=9.3, median queries=2.0
161: attack success rate=99.9%, average queries=9.3, median queries=2.0
162: attack success rate=99.9%, average queries=9.3, median queries=2.0
163: attack success rate=99.9%, average queries=9.3, median queries=2.0
164: attack success rate=99.9%, average queries=9.3, median queries=2.0
165: attack success rate=99.9%, average queries=9.3, median queries=2.0
166: attack success rate=99.9%, average queries=9.3, median queries=2.0
167: attack success rate=99.9%, average queries=9.3, median queries=2.0
168: attack success rate=99.9%, average queries=9.3, median queries=2.0
169: attack success rate=100.0%, average queries=9.4, median queries=2.5
 
Attack Success Rate: 100.0%
Average L2 Distance: 4.90
Average Queries: 9.4
Median Queries: 2.5
